LO_Filename,LO_CrossSection,LO_Error,NLO_Filename,NLO_CrossSection,NLO_Error,Row_NLO/LO_Ratio
../submit_files/condorfiles/LO/result_WR2000_N1200/WRtoNLtoLLJJ_WR2000_N1200.log,0.0655,0.0007617,../submit_files/condorfiles/NLO/result_WR2000_N1200_NLO/WRtoNLtoLLJJ_WR2000_N1200_NLO.log,0.08226,7e-05,1.25587786259542
../submit_files/condorfiles/LO/result_WR2000_N1300/WRtoNLtoLLJJ_WR2000_N1300.log,0.05502,0.0004384,../submit_files/condorfiles/NLO/result_WR2000_N1300_NLO/WRtoNLtoLLJJ_WR2000_N1300_NLO.log,0.06992,6.2e-05,1.2708106143220645
../submit_files/condorfiles/LO/result_WR2000_N1400/WRtoNLtoLLJJ_WR2000_N1400.log,0.04494,0.0002847,../submit_files/condorfiles/NLO/result_WR2000_N1400_NLO/WRtoNLtoLLJJ_WR2000_N1400_NLO.log,0.05711,5e-05,1.2708055184690699
../submit_files/condorfiles/LO/result_WR2000_N1500/WRtoNLtoLLJJ_WR2000_N1500.log,0.03455,0.0002595,../submit_files/condorfiles/NLO/result_WR2000_N1500_NLO/WRtoNLtoLLJJ_WR2000_N1500_NLO.log,0.04414,4.1e-05,1.2775687409551375
../submit_files/condorfiles/LO/result_WR2000_N1600/WRtoNLtoLLJJ_WR2000_N1600.log,0.02466,0.0001637,../submit_files/condorfiles/NLO/result_WR2000_N1600_NLO/WRtoNLtoLLJJ_WR2000_N1600_NLO.log,0.03146,2.7e-05,1.275750202757502
../submit_files/condorfiles/LO/result_WR2000_N1700/WRtoNLtoLLJJ_WR2000_N1700.log,0.0155,9.65e-05,../submit_files/condorfiles/NLO/result_WR2000_N1700_NLO/WRtoNLtoLLJJ_WR2000_N1700_NLO.log,0.01987,1.7e-05,1.2819354838709676
../submit_files/condorfiles/LO/result_WR2000_N1800/WRtoNLtoLLJJ_WR2000_N1800.log,0.00806,7.954e-05,../submit_files/condorfiles/NLO/result_WR2000_N1800_NLO/WRtoNLtoLLJJ_WR2000_N1800_NLO.log,0.01018,8.8e-06,1.2630272952853598
../submit_files/condorfiles/LO/result_WR2000_N1900/WRtoNLtoLLJJ_WR2000_N1900.log,0.002712,2.862e-05,../submit_files/condorfiles/NLO/result_WR2000_N1900_NLO/WRtoNLtoLLJJ_WR2000_N1900_NLO.log,0.003495,3.3e-06,1.288716814159292
../submit_files/condorfiles/LO/result_WR2500_N100/WRtoNLtoLLJJ_WR2500_N100.log,0.03735,0.000262,../submit_files/condorfiles/NLO/result_WR2500_N100_NLO/WRtoNLtoLLJJ_WR2500_N100_NLO.log,0.04814,5e-05,1.288888888888889
../submit_files/condorfiles/LO/result_WR2500_N200/WRtoNLtoLLJJ_WR2500_N200.log,0.03677,0.000401,../submit_files/condorfiles/NLO/result_WR2500_N200_NLO/WRtoNLtoLLJJ_WR2500_N200_NLO.log,0.04698,5.1e-05,1.2776720152298071
../submit_files/condorfiles/LO/result_WR2500_N300/WRtoNLtoLLJJ_WR2500_N300.log,0.03572,0.0002521,../submit_files/condorfiles/NLO/result_WR2500_N300_NLO/WRtoNLtoLLJJ_WR2500_N300_NLO.log,0.04593,4.3e-05,1.2858342665173572
../submit_files/condorfiles/LO/result_WR2500_N400/WRtoNLtoLLJJ_WR2500_N400.log,0.03557,0.0006163,../submit_files/condorfiles/NLO/result_WR2500_N400_NLO/WRtoNLtoLLJJ_WR2500_N400_NLO.log,0.04483,4.4e-05,1.2603317402305314
../submit_files/condorfiles/LO/result_WR2500_N500/WRtoNLtoLLJJ_WR2500_N500.log,0.03458,0.0005618,../submit_files/condorfiles/NLO/result_WR2500_N500_NLO/WRtoNLtoLLJJ_WR2500_N500_NLO.log,0.04363,4.7e-05,1.2617119722382881
../submit_files/condorfiles/LO/result_WR2500_N600/WRtoNLtoLLJJ_WR2500_N600.log,0.03331,0.0005321,../submit_files/condorfiles/NLO/result_WR2500_N600_NLO/WRtoNLtoLLJJ_WR2500_N600_NLO.log,0.04221,3.9e-05,1.267187030921645
../submit_files/condorfiles/LO/result_WR2500_N700/WRtoNLtoLLJJ_WR2500_N700.log,0.03202,0.0004902,../submit_files/condorfiles/NLO/result_WR2500_N700_NLO/WRtoNLtoLLJJ_WR2500_N700_NLO.log,0.04079,3.9e-05,1.273891317926296
../submit_files/condorfiles/LO/result_WR2500_N800/WRtoNLtoLLJJ_WR2500_N800.log,0.03014,0.0002703,../submit_files/condorfiles/NLO/result_WR2500_N800_NLO/WRtoNLtoLLJJ_WR2500_N800_NLO.log,0.03913,3.7e-05,1.2982747179827472
../submit_files/condorfiles/LO/result_WR2500_N900/WRtoNLtoLLJJ_WR2500_N900.log,0.02869,0.0003823,../submit_files/condorfiles/NLO/result_WR2500_N900_NLO/WRtoNLtoLLJJ_WR2500_N900_NLO.log,0.03737,3.5e-05,1.3025444405716278
../submit_files/condorfiles/LO/result_WR2500_N1000/WRtoNLtoLLJJ_WR2500_N1000.log,0.02735,0.0003632,../submit_files/condorfiles/NLO/result_WR2500_N1000_NLO/WRtoNLtoLLJJ_WR2500_N1000_NLO.log,0.03539,3.3e-05,1.2939670932358318
../submit_files/condorfiles/LO/result_WR2500_N1100/WRtoNLtoLLJJ_WR2500_N1100.log,0.0255,0.0003199,../submit_files/condorfiles/NLO/result_WR2500_N1100_NLO/WRtoNLtoLLJJ_WR2500_N1100_NLO.log,0.0333,3.2e-05,1.3058823529411767
../submit_files/condorfiles/LO/result_WR2500_N1200/WRtoNLtoLLJJ_WR2500_N1200.log,0.02376,0.0001906,../submit_files/condorfiles/NLO/result_WR2500_N1200_NLO/WRtoNLtoLLJJ_WR2500_N1200_NLO.log,0.03105,2.9e-05,1.3068181818181819
../submit_files/condorfiles/LO/result_WR2500_N1300/WRtoNLtoLLJJ_WR2500_N1300.log,0.02189,0.0001675,../submit_files/condorfiles/NLO/result_WR2500_N1300_NLO/WRtoNLtoLLJJ_WR2500_N1300_NLO.log,0.02864,2.7e-05,1.308359981726816
../submit_files/condorfiles/LO/result_WR2500_N1400/WRtoNLtoLLJJ_WR2500_N1400.log,0.01996,0.0001548,../submit_files/condorfiles/NLO/result_WR2500_N1400_NLO/WRtoNLtoLLJJ_WR2500_N1400_NLO.log,0.02609,2.4e-05,1.307114228456914
../submit_files/condorfiles/LO/result_WR2500_N1500/WRtoNLtoLLJJ_WR2500_N1500.log,0.01797,0.0001397,../submit_files/condorfiles/NLO/result_WR2500_N1500_NLO/WRtoNLtoLLJJ_WR2500_N1500_NLO.log,0.02339,2.2e-05,1.3016138007790763
../submit_files/condorfiles/LO/result_WR2500_N1600/WRtoNLtoLLJJ_WR2500_N1600.log,0.0158,0.0001191,../submit_files/condorfiles/NLO/result_WR2500_N1600_NLO/WRtoNLtoLLJJ_WR2500_N1600_NLO.log,0.02058,1.9e-05,1.30253164556962
../submit_files/condorfiles/LO/result_WR2500_N1700/WRtoNLtoLLJJ_WR2500_N1700.log,0.01354,8.169e-05,../submit_files/condorfiles/NLO/result_WR2500_N1700_NLO/WRtoNLtoLLJJ_WR2500_N1700_NLO.log,0.01765,1.5e-05,1.3035450516986706
../submit_files/condorfiles/LO/result_WR2500_N1800/WRtoNLtoLLJJ_WR2500_N1800.log,0.01128,7.053e-05,../submit_files/condorfiles/NLO/result_WR2500_N1800_NLO/WRtoNLtoLLJJ_WR2500_N1800_NLO.log,0.01469,1.4e-05,1.302304964539007
